sex,birth_cohort,median_first_marriage_age,married_before_25_percent,married_before_30_percent,married_before_35_percent,married_before_40_percent,source_url,source_data,note
male,<1950,23.3,65.8,89.9,95.4,96.6,https://link.springer.com/article/10.1007/s42379-022-00113-0,CFPS 2018,Table 1 as published
male,1950-1959,24.4,57.8,91.8,96.7,97.5,https://link.springer.com/article/10.1007/s42379-022-00113-0,CFPS 2018,Table 1 as published
male,1960-1969,23.3,71.5,93.1,97.2,97.8,https://link.springer.com/article/10.1007/s42379-022-00113-0,CFPS 2018,Table 1 as published
male,1970-1979,24.3,56.4,87.6,93.6,95.2,https://link.springer.com/article/10.1007/s42379-022-00113-0,CFPS 2018,Table 1 as published
male,1980-1984,25.2,48.3,81.5,88.9,,https://link.springer.com/article/10.1007/s42379-022-00113-0,CFPS 2018,Later-age cells unavailable/censored in published table
male,1985-1989,26.0,41.6,72.6,,,https://link.springer.com/article/10.1007/s42379-022-00113-0,CFPS 2018,Later-age cells unavailable/censored in published table
female,<1950,20.2,89.5,98.0,99.2,99.5,https://link.springer.com/article/10.1007/s42379-022-00113-0,CFPS 2018,Table 1 as published
female,1950-1959,22.6,81.4,97.0,98.7,99.1,https://link.springer.com/article/10.1007/s42379-022-00113-0,CFPS 2018,Table 1 as published
female,1960-1969,21.9,88.4,97.3,99.0,99.3,https://link.springer.com/article/10.1007/s42379-022-00113-0,CFPS 2018,Table 1 as published
female,1970-1979,22.4,80.5,96.5,98.9,99.1,https://link.springer.com/article/10.1007/s42379-022-00113-0,CFPS 2018,Table 1 as published
female,1980-1984,23.1,74.4,94.2,97.2,,https://link.springer.com/article/10.1007/s42379-022-00113-0,CFPS 2018,Age-40 cell unavailable/censored in published table
female,1985-1989,23.3,68.2,90.9,,,https://link.springer.com/article/10.1007/s42379-022-00113-0,CFPS 2018,Later-age cells unavailable/censored in published table
