year,urban_disposable_income_yuan_per_capita,rural_net_income_yuan_per_capita,urban_engel_coefficient_percent,rural_engel_coefficient_percent,source
1978,343.4,133.6,57.5,67.7,https://www.stats.gov.cn/sj/ndsj/2007/html/J1002e.htm
1980,477.6,191.3,56.9,61.8,https://www.stats.gov.cn/sj/ndsj/2007/html/J1002e.htm
1985,739.1,397.6,53.3,57.8,https://www.stats.gov.cn/sj/ndsj/2007/html/J1002e.htm
1990,1510.2,686.3,54.2,58.8,https://www.stats.gov.cn/sj/ndsj/2007/html/J1002e.htm
1991,1700.6,708.6,53.8,57.6,https://www.stats.gov.cn/sj/ndsj/2007/html/J1002e.htm
1992,2026.6,784.0,53.0,57.6,https://www.stats.gov.cn/sj/ndsj/2007/html/J1002e.htm
1993,2577.4,921.6,50.3,58.1,https://www.stats.gov.cn/sj/ndsj/2007/html/J1002e.htm
1994,3496.2,1221.0,50.0,58.9,https://www.stats.gov.cn/sj/ndsj/2007/html/J1002e.htm
1995,4283.0,1577.7,50.1,58.6,https://www.stats.gov.cn/sj/ndsj/2007/html/J1002e.htm
1996,4838.9,1926.1,48.8,56.3,https://www.stats.gov.cn/sj/ndsj/2007/html/J1002e.htm
1997,5160.3,2090.1,46.6,55.1,https://www.stats.gov.cn/sj/ndsj/2007/html/J1002e.htm
1998,5425.1,2162.0,44.7,53.4,https://www.stats.gov.cn/sj/ndsj/2007/html/J1002e.htm
1999,5854.0,2210.3,42.1,52.6,https://www.stats.gov.cn/sj/ndsj/2007/html/J1002e.htm
2000,6280.0,2253.4,39.4,49.1,https://www.stats.gov.cn/sj/ndsj/2007/html/J1002e.htm
2001,6859.6,2366.4,38.2,47.7,https://www.stats.gov.cn/sj/ndsj/2007/html/J1002e.htm
2002,7702.8,2475.6,37.7,46.2,https://www.stats.gov.cn/sj/ndsj/2007/html/J1002e.htm
2003,8472.2,2622.2,37.1,45.6,https://www.stats.gov.cn/sj/ndsj/2007/html/J1002e.htm
2004,9421.6,2936.4,37.7,47.2,https://www.stats.gov.cn/sj/ndsj/2007/html/J1002e.htm
2005,10493.0,3254.9,36.7,45.5,https://www.stats.gov.cn/sj/ndsj/2007/html/J1002e.htm
