age_group,population,sex,retired_percent,source,notes
50-54,urban,total,30.4,https://pmc.ncbi.nlm.nih.gov/articles/PMC10187591/,"Weighted CHARLS 2018 retirement rate."
50-54,rural,total,16.4,https://pmc.ncbi.nlm.nih.gov/articles/PMC10187591/,"Weighted CHARLS 2018 retirement rate."
50-54,urban,male,14.1,https://pmc.ncbi.nlm.nih.gov/articles/PMC10187591/,"Weighted CHARLS 2018 retirement rate."
50-54,rural,male,10.5,https://pmc.ncbi.nlm.nih.gov/articles/PMC10187591/,"Weighted CHARLS 2018 retirement rate."
50-54,urban,female,49.3,https://pmc.ncbi.nlm.nih.gov/articles/PMC10187591/,"Weighted CHARLS 2018 retirement rate."
50-54,rural,female,22.2,https://pmc.ncbi.nlm.nih.gov/articles/PMC10187591/,"Weighted CHARLS 2018 retirement rate."
55-59,urban,total,44.1,https://pmc.ncbi.nlm.nih.gov/articles/PMC10187591/,"Weighted CHARLS 2018 retirement rate."
55-59,rural,total,21.7,https://pmc.ncbi.nlm.nih.gov/articles/PMC10187591/,"Weighted CHARLS 2018 retirement rate."
55-59,urban,male,25.0,https://pmc.ncbi.nlm.nih.gov/articles/PMC10187591/,"Weighted CHARLS 2018 retirement rate."
55-59,rural,male,13.2,https://pmc.ncbi.nlm.nih.gov/articles/PMC10187591/,"Weighted CHARLS 2018 retirement rate."
55-59,urban,female,66.3,https://pmc.ncbi.nlm.nih.gov/articles/PMC10187591/,"Weighted CHARLS 2018 retirement rate."
55-59,rural,female,30.0,https://pmc.ncbi.nlm.nih.gov/articles/PMC10187591/,"Weighted CHARLS 2018 retirement rate."
60-64,urban,total,70.8,https://pmc.ncbi.nlm.nih.gov/articles/PMC10187591/,"Weighted CHARLS 2018 retirement rate."
60-64,rural,total,26.1,https://pmc.ncbi.nlm.nih.gov/articles/PMC10187591/,"Weighted CHARLS 2018 retirement rate."
60-64,urban,male,65.1,https://pmc.ncbi.nlm.nih.gov/articles/PMC10187591/,"Weighted CHARLS 2018 retirement rate."
60-64,rural,male,19.6,https://pmc.ncbi.nlm.nih.gov/articles/PMC10187591/,"Weighted CHARLS 2018 retirement rate."
60-64,urban,female,76.5,https://pmc.ncbi.nlm.nih.gov/articles/PMC10187591/,"Weighted CHARLS 2018 retirement rate."
60-64,rural,female,32.8,https://pmc.ncbi.nlm.nih.gov/articles/PMC10187591/,"Weighted CHARLS 2018 retirement rate."
65-69,urban,total,81.3,https://pmc.ncbi.nlm.nih.gov/articles/PMC10187591/,"Weighted CHARLS 2018 retirement rate."
65-69,rural,total,35.2,https://pmc.ncbi.nlm.nih.gov/articles/PMC10187591/,"Weighted CHARLS 2018 retirement rate."
65-69,urban,male,74.7,https://pmc.ncbi.nlm.nih.gov/articles/PMC10187591/,"Weighted CHARLS 2018 retirement rate."
65-69,rural,male,28.5,https://pmc.ncbi.nlm.nih.gov/articles/PMC10187591/,"Weighted CHARLS 2018 retirement rate."
65-69,urban,female,87.9,https://pmc.ncbi.nlm.nih.gov/articles/PMC10187591/,"Weighted CHARLS 2018 retirement rate."
65-69,rural,female,41.7,https://pmc.ncbi.nlm.nih.gov/articles/PMC10187591/,"Weighted CHARLS 2018 retirement rate."
70-74,urban,total,83.4,https://pmc.ncbi.nlm.nih.gov/articles/PMC10187591/,"Weighted CHARLS 2018 retirement rate."
70-74,rural,total,45.0,https://pmc.ncbi.nlm.nih.gov/articles/PMC10187591/,"Weighted CHARLS 2018 retirement rate."
75-79,urban,total,92.0,https://pmc.ncbi.nlm.nih.gov/articles/PMC10187591/,"Weighted CHARLS 2018 retirement rate."
75-79,rural,total,59.6,https://pmc.ncbi.nlm.nih.gov/articles/PMC10187591/,"Weighted CHARLS 2018 retirement rate."
80+,urban,total,96.0,https://pmc.ncbi.nlm.nih.gov/articles/PMC10187591/,"Weighted CHARLS 2018 retirement rate."
80+,rural,total,85.4,https://pmc.ncbi.nlm.nih.gov/articles/PMC10187591/,"Weighted CHARLS 2018 retirement rate."
